insert into account values(12530000, "name30000", 584.20);
insert into account values(12530001, "name30001", 413.78);
insert into account values(12530002, "name30002", 331.54);
insert into account values(12530003, "name30003", 445.63);
insert into account values(12530004, "name30004", 160.08);
insert into account values(12530005, "name30005", 933.95);
insert into account values(12530006, "name30006", 649.10);
insert into account values(12530007, "name30007", 512.72);
insert into account values(12530008, "name30008", 864.41);
insert into account values(12530009, "name30009", 415.04);
insert into account values(12530010, "name30010", 988.66);
insert into account values(12530011, "name30011", 90.05);
insert into account values(12530012, "name30012", 70.83);
insert into account values(12530013, "name30013", 379.80);
insert into account values(12530014, "name30014", 249.31);
insert into account values(12530015, "name30015", 137.10);
insert into account values(12530016, "name30016", 391.20);
insert into account values(12530017, "name30017", 314.23);
insert into account values(12530018, "name30018", 799.91);
insert into account values(12530019, "name30019", 10.34);
insert into account values(12530020, "name30020", 454.96);
insert into account values(12530021, "name30021", 214.34);
insert into account values(12530022, "name30022", 143.96);
insert into account values(12530023, "name30023", 136.21);
insert into account values(12530024, "name30024", 131.06);
insert into account values(12530025, "name30025", 643.39);
insert into account values(12530026, "name30026", 397.00);
insert into account values(12530027, "name30027", 713.82);
insert into account values(12530028, "name30028", 825.57);
insert into account values(12530029, "name30029", 307.66);
insert into account values(12530030, "name30030", 541.65);
insert into account values(12530031, "name30031", 602.90);
insert into account values(12530032, "name30032", 943.74);
insert into account values(12530033, "name30033", 264.48);
insert into account values(12530034, "name30034", 754.61);
insert into account values(12530035, "name30035", 915.06);
insert into account values(12530036, "name30036", 486.81);
insert into account values(12530037, "name30037", 727.08);
insert into account values(12530038, "name30038", 455.57);
insert into account values(12530039, "name30039", 336.32);
insert into account values(12530040, "name30040", 776.49);
insert into account values(12530041, "name30041", 655.95);
insert into account values(12530042, "name30042", 34.51);
insert into account values(12530043, "name30043", 245.95);
insert into account values(12530044, "name30044", 67.27);
insert into account values(12530045, "name30045", 172.68);
insert into account values(12530046, "name30046", 244.36);
insert into account values(12530047, "name30047", 189.11);
insert into account values(12530048, "name30048", 449.23);
insert into account values(12530049, "name30049", 555.16);
insert into account values(12530050, "name30050", 88.11);
insert into account values(12530051, "name30051", 787.45);
insert into account values(12530052, "name30052", 397.62);
insert into account values(12530053, "name30053", 454.39);
insert into account values(12530054, "name30054", 97.66);
insert into account values(12530055, "name30055", 837.95);
insert into account values(12530056, "name30056", 844.85);
insert into account values(12530057, "name30057", 680.26);
insert into account values(12530058, "name30058", 973.51);
insert into account values(12530059, "name30059", 230.36);
insert into account values(12530060, "name30060", 526.89);
insert into account values(12530061, "name30061", 811.99);
insert into account values(12530062, "name30062", 467.13);
insert into account values(12530063, "name30063", 428.14);
