insert into account values(12520000, "name20000", 654.24);
insert into account values(12520001, "name20001", 927.74);
insert into account values(12520002, "name20002", 443.46);
insert into account values(12520003, "name20003", 750.92);
insert into account values(12520004, "name20004", 145.46);
insert into account values(12520005, "name20005", 533.98);
insert into account values(12520006, "name20006", 606.20);
insert into account values(12520007, "name20007", 965.29);
insert into account values(12520008, "name20008", 905.87);
insert into account values(12520009, "name20009", 97.10);
insert into account values(12520010, "name20010", 808.11);
insert into account values(12520011, "name20011", 952.00);
insert into account values(12520012, "name20012", 348.16);
insert into account values(12520013, "name20013", 624.94);
insert into account values(12520014, "name20014", 392.73);
insert into account values(12520015, "name20015", 787.27);
insert into account values(12520016, "name20016", 584.93);
insert into account values(12520017, "name20017", 621.49);
insert into account values(12520018, "name20018", 821.01);
insert into account values(12520019, "name20019", 920.64);
insert into account values(12520020, "name20020", 592.36);
insert into account values(12520021, "name20021", 857.80);
insert into account values(12520022, "name20022", 361.82);
insert into account values(12520023, "name20023", 942.60);
insert into account values(12520024, "name20024", 399.71);
insert into account values(12520025, "name20025", 381.85);
insert into account values(12520026, "name20026", 714.85);
insert into account values(12520027, "name20027", 749.78);
insert into account values(12520028, "name20028", 840.59);
insert into account values(12520029, "name20029", 237.63);
insert into account values(12520030, "name20030", 976.28);
insert into account values(12520031, "name20031", 462.12);
insert into account values(12520032, "name20032", 365.98);
insert into account values(12520033, "name20033", 668.56);
insert into account values(12520034, "name20034", 499.97);
insert into account values(12520035, "name20035", 845.48);
insert into account values(12520036, "name20036", 357.49);
insert into account values(12520037, "name20037", 991.67);
insert into account values(12520038, "name20038", 119.13);
insert into account values(12520039, "name20039", 948.29);
insert into account values(12520040, "name20040", 119.25);
insert into account values(12520041, "name20041", 543.35);
insert into account values(12520042, "name20042", 251.62);
insert into account values(12520043, "name20043", 544.26);
insert into account values(12520044, "name20044", 779.37);
insert into account values(12520045, "name20045", 89.98);
insert into account values(12520046, "name20046", 940.68);
insert into account values(12520047, "name20047", 97.40);
insert into account values(12520048, "name20048", 727.63);
insert into account values(12520049, "name20049", 382.85);
insert into account values(12520050, "name20050", 321.26);
insert into account values(12520051, "name20051", 191.86);
insert into account values(12520052, "name20052", 304.33);
insert into account values(12520053, "name20053", 506.23);
insert into account values(12520054, "name20054", 954.88);
insert into account values(12520055, "name20055", 515.70);
insert into account values(12520056, "name20056", 471.22);
insert into account values(12520057, "name20057", 30.99);
insert into account values(12520058, "name20058", 762.39);
insert into account values(12520059, "name20059", 750.09);
insert into account values(12520060, "name20060", 311.58);
insert into account values(12520061, "name20061", 589.19);
insert into account values(12520062, "name20062", 700.89);
insert into account values(12520063, "name20063", 671.40);
insert into account values(12520064, "name20064", 591.38);
insert into account values(12520065, "name20065", 986.54);
insert into account values(12520066, "name20066", 800.56);
insert into account values(12520067, "name20067", 681.36);
insert into account values(12520068, "name20068", 456.52);
insert into account values(12520069, "name20069", 215.36);
insert into account values(12520070, "name20070", 109.87);
insert into account values(12520071, "name20071", 505.01);
insert into account values(12520072, "name20072", 874.78);
insert into account values(12520073, "name20073", 198.38);
insert into account values(12520074, "name20074", 641.70);
insert into account values(12520075, "name20075", 805.22);
insert into account values(12520076, "name20076", 294.99);
insert into account values(12520077, "name20077", 941.61);
insert into account values(12520078, "name20078", 886.59);
insert into account values(12520079, "name20079", 539.01);
insert into account values(12520080, "name20080", 179.59);
insert into account values(12520081, "name20081", 105.13);
insert into account values(12520082, "name20082", 969.02);
insert into account values(12520083, "name20083", 894.45);
insert into account values(12520084, "name20084", 285.48);
insert into account values(12520085, "name20085", 423.24);
insert into account values(12520086, "name20086", 719.32);
insert into account values(12520087, "name20087", 704.40);
insert into account values(12520088, "name20088", 296.44);
insert into account values(12520089, "name20089", 437.37);
insert into account values(12520090, "name20090", 404.99);
insert into account values(12520091, "name20091", 420.53);
insert into account values(12520092, "name20092", 586.41);
insert into account values(12520093, "name20093", 56.09);
insert into account values(12520094, "name20094", 524.10);
insert into account values(12520095, "name20095", 413.56);
insert into account values(12520096, "name20096", 843.72);
insert into account values(12520097, "name20097", 419.27);
insert into account values(12520098, "name20098", 398.94);
insert into account values(12520099, "name20099", 232.68);
insert into account values(12520100, "name20100", 89.79);
insert into account values(12520101, "name20101", 17.34);
insert into account values(12520102, "name20102", 53.47);
insert into account values(12520103, "name20103", 210.27);
insert into account values(12520104, "name20104", 308.47);
insert into account values(12520105, "name20105", 625.17);
insert into account values(12520106, "name20106", 53.59);
insert into account values(12520107, "name20107", 174.83);
insert into account values(12520108, "name20108", 828.14);
insert into account values(12520109, "name20109", 940.54);
insert into account values(12520110, "name20110", 416.93);
insert into account values(12520111, "name20111", 573.87);
insert into account values(12520112, "name20112", 878.02);
insert into account values(12520113, "name20113", 392.90);
insert into account values(12520114, "name20114", 501.96);
insert into account values(12520115, "name20115", 532.72);
insert into account values(12520116, "name20116", 562.68);
insert into account values(12520117, "name20117", 491.29);
insert into account values(12520118, "name20118", 965.11);
insert into account values(12520119, "name20119", 246.32);
insert into account values(12520120, "name20120", 917.76);
insert into account values(12520121, "name20121", 582.41);
insert into account values(12520122, "name20122", 213.13);
insert into account values(12520123, "name20123", 538.07);
insert into account values(12520124, "name20124", 568.85);
insert into account values(12520125, "name20125", 533.46);
insert into account values(12520126, "name20126", 442.82);
insert into account values(12520127, "name20127", 548.88);
insert into account values(12520128, "name20128", 153.48);
insert into account values(12520129, "name20129", 560.08);
insert into account values(12520130, "name20130", 732.71);
insert into account values(12520131, "name20131", 750.07);
insert into account values(12520132, "name20132", 591.07);
insert into account values(12520133, "name20133", 105.93);
insert into account values(12520134, "name20134", 405.86);
insert into account values(12520135, "name20135", 981.10);
insert into account values(12520136, "name20136", 67.14);
insert into account values(12520137, "name20137", 120.31);
insert into account values(12520138, "name20138", 467.72);
insert into account values(12520139, "name20139", 422.38);
insert into account values(12520140, "name20140", 768.39);
insert into account values(12520141, "name20141", 375.77);
insert into account values(12520142, "name20142", 990.41);
insert into account values(12520143, "name20143", 258.21);
insert into account values(12520144, "name20144", 471.68);
insert into account values(12520145, "name20145", 706.27);
insert into account values(12520146, "name20146", 927.03);
insert into account values(12520147, "name20147", 504.72);
insert into account values(12520148, "name20148", 313.25);
insert into account values(12520149, "name20149", 4.42);
insert into account values(12520150, "name20150", 634.04);
insert into account values(12520151, "name20151", 283.03);
insert into account values(12520152, "name20152", 55.11);
insert into account values(12520153, "name20153", 601.22);
insert into account values(12520154, "name20154", 433.76);
insert into account values(12520155, "name20155", 941.25);
insert into account values(12520156, "name20156", 299.41);
insert into account values(12520157, "name20157", 613.74);
insert into account values(12520158, "name20158", 453.62);
insert into account values(12520159, "name20159", 24.48);
insert into account values(12520160, "name20160", 841.21);
insert into account values(12520161, "name20161", 171.93);
insert into account values(12520162, "name20162", 372.83);
insert into account values(12520163, "name20163", 843.26);
insert into account values(12520164, "name20164", 743.30);
insert into account values(12520165, "name20165", 945.90);
insert into account values(12520166, "name20166", 261.99);
insert into account values(12520167, "name20167", 964.66);
insert into account values(12520168, "name20168", 121.83);
insert into account values(12520169, "name20169", 637.22);
insert into account values(12520170, "name20170", 138.01);
insert into account values(12520171, "name20171", 584.44);
insert into account values(12520172, "name20172", 101.16);
insert into account values(12520173, "name20173", 584.40);
insert into account values(12520174, "name20174", 332.21);
insert into account values(12520175, "name20175", 662.62);
insert into account values(12520176, "name20176", 555.48);
insert into account values(12520177, "name20177", 79.57);
insert into account values(12520178, "name20178", 984.81);
